StartTime,EndTime,Class,Observatory,PeakTime
2001-10-22 00:22:00,2001-10-22 00:48:00,M1.0,GOES,2001-10-22 00:40:00
2001-10-22 03:44:00,2001-10-22 04:23:00,C6.8,GOES,2001-10-22 03:59:00
2001-10-22 05:05:00,2001-10-22 05:10:00,C4.3,GOES,2001-10-22 05:08:00
2001-10-22 09:53:00,2001-10-22 10:00:00,C4.3,GOES,2001-10-22 09:56:00
2001-10-22 11:36:00,2001-10-22 11:45:00,C5.6,GOES,2001-10-22 11:41:00
2001-10-22 12:05:00,2001-10-22 12:30:00,C7.5,GOES,2001-10-22 12:17:00
2001-10-22 14:27:00,2001-10-22 15:31:00,M6.7,GOES,2001-10-22 15:08:00
2001-10-22 17:44:00,2001-10-22 18:14:00,X1.2,GOES,2001-10-22 17:59:00
2001-10-22 20:57:00,2001-10-22 21:14:00,C7.9,GOES,2001-10-22 21:06:00
2001-10-24 23:59:00,2001-10-25 00:06:00,C5.3,GOES,2001-10-25 00:03:00
2001-10-25 03:22:00,2001-10-25 03:45:00,C4.8,GOES,2001-10-25 03:31:00
2001-10-25 05:16:00,2001-10-25 05:25:00,C5.2,GOES,2001-10-25 05:21:00
2001-10-25 06:24:00,2001-10-25 06:39:00,C5.4,GOES,2001-10-25 06:30:00
2001-10-25 07:41:00,2001-10-25 07:56:00,C5.7,GOES,2001-10-25 07:48:00
2001-10-25 10:39:00,2001-10-25 11:00:00,C6.3,GOES,2001-10-25 10:47:00
2001-10-25 12:20:00,2001-10-25 12:50:00,C4.3,GOES,2001-10-25 12:37:00
2001-10-25 13:50:00,2001-10-25 13:58:00,C2.2,GOES,2001-10-25 13:54:00
2001-10-25 14:42:00,2001-10-25 15:28:00,X1.3,GOES,2001-10-25 15:02:00
2001-10-25 19:19:00,2001-10-25 19:31:00,C7.5,GOES,2001-10-25 19:23:00
2001-10-25 20:45:00,2001-10-25 20:54:00,C4.4,GOES,2001-10-25 20:49:00
2001-10-25 21:16:00,2001-10-25 21:24:00,C6.6,GOES,2001-10-25 21:20:00
2001-10-25 21:34:00,2001-10-25 21:42:00,C5.9,GOES,2001-10-25 21:37:00
2001-10-25 21:44:00,2001-10-25 21:50:00,C8.9,GOES,2001-10-25 21:47:00
2001-10-25 22:06:00,2001-10-25 22:13:00,C5.3,GOES,2001-10-25 22:10:00
2001-10-25 22:50:00,2001-10-25 22:58:00,C6.1,GOES,2001-10-25 22:54:00
2001-10-25 23:42:00,2001-10-25 23:54:00,C3.8,GOES,2001-10-25 23:48:00
2001-11-04 00:30:00,2001-11-04 00:36:00,C2.7,GOES,2001-11-04 00:33:00
2001-11-04 06:38:00,2001-11-04 06:46:00,C8.4,GOES,2001-11-04 06:43:00
2001-11-04 10:48:00,2001-11-04 10:57:00,C3.2,GOES,2001-11-04 10:52:00
2001-11-04 13:44:00,2001-11-04 14:00:00,C5.5,GOES,2001-11-04 13:52:00
2001-11-04 15:36:00,2001-11-04 15:47:00,C5.1,GOES,2001-11-04 15:41:00
2001-11-04 16:03:00,2001-11-04 16:57:00,X1.0,GOES,2001-11-04 16:20:00
2001-11-25 01:00:00,2001-11-25 01:23:00,C4.5,GOES,2001-11-25 01:14:00
2001-11-25 03:59:00,2001-11-25 04:04:00,C2.3,GOES,2001-11-25 04:02:00
2001-11-25 04:56:00,2001-11-25 05:06:00,C2.3,GOES,2001-11-25 05:01:00
2001-11-25 05:41:00,2001-11-25 06:09:00,C2.4,GOES,2001-11-25 06:03:00
2001-11-25 08:34:00,2001-11-25 08:48:00,C3.1,GOES,2001-11-25 08:44:00
2001-11-25 08:58:00,2001-11-25 09:12:00,C2.3,GOES,2001-11-25 09:04:00
2001-11-25 09:24:00,2001-11-25 09:30:00,C7.6,GOES,2001-11-25 09:27:00
2001-11-25 09:45:00,2001-11-25 09:54:00,X1.1,GOES,2001-11-25 09:51:00
2001-11-25 11:14:00,2001-11-25 11:32:00,C3.6,GOES,2001-11-25 11:19:00
2001-11-25 11:37:00,2001-11-25 11:55:00,C7.5,GOES,2001-11-25 11:47:00
2001-11-25 13:00:00,2001-11-25 13:28:00,C1.4,GOES,2001-11-25 13:13:00
2001-11-25 15:29:00,2001-11-25 15:36:00,C2.3,GOES,2001-11-25 15:32:00
2001-11-25 15:39:00,2001-11-25 15:59:00,C7.8,GOES,2001-11-25 15:45:00
2001-11-25 16:48:00,2001-11-25 17:00:00,C2.8,GOES,2001-11-25 16:56:00
2001-11-25 17:18:00,2001-11-25 18:05:00,C3.1,GOES,2001-11-25 18:01:00
2001-11-25 18:53:00,2001-11-25 19:02:00,C1.9,GOES,2001-11-25 18:59:00
2001-11-25 22:45:00,2001-11-25 23:58:00,C9.0,GOES,2001-11-25 23:17:00
2001-12-10 22:39:00,2001-12-11 00:00:00,C7.0,GOES,2001-12-10 22:48:00
2001-12-11 03:30:00,2001-12-11 03:47:00,C3.4,GOES,2001-12-11 03:43:00
2001-12-11 04:12:00,2001-12-11 04:21:00,C2.7,GOES,2001-12-11 04:16:00
2001-12-11 07:58:00,2001-12-11 08:14:00,X2.8,GOES,2001-12-11 08:08:00
2001-12-11 10:06:00,2001-12-11 10:29:00,C4.6,GOES,2001-12-11 10:19:00
2001-12-11 14:42:00,2001-12-11 14:57:00,M1.3,GOES,2001-12-11 14:51:00
2001-12-11 18:54:00,2001-12-11 19:08:00,C3.4,GOES,2001-12-11 19:01:00
2001-12-13 02:33:00,2001-12-13 02:59:00,C4.1,GOES,2001-12-13 02:41:00
2001-12-13 06:32:00,2001-12-13 07:00:00,M1.8,GOES,2001-12-13 06:40:00
2001-12-13 10:06:00,2001-12-13 10:24:00,C3.1,GOES,2001-12-13 10:12:00
2001-12-13 13:22:00,2001-12-13 13:31:00,C3.4,GOES,2001-12-13 13:26:00
2001-12-13 13:58:00,2001-12-13 14:07:00,C2.4,GOES,2001-12-13 14:03:00
2001-12-13 14:20:00,2001-12-13 14:35:00,X6.2,GOES,2001-12-13 14:30:00
2001-12-13 22:44:00,2001-12-13 23:17:00,M1.4,GOES,2001-12-13 23:07:00
2001-12-28 01:23:00,2001-12-28 01:32:00,C6.5,GOES,2001-12-28 01:27:00
2001-12-28 02:34:00,2001-12-28 03:07:00,C4.2,GOES,2001-12-28 02:40:00
2001-12-28 03:42:00,2001-12-28 03:56:00,M4.7,GOES,2001-12-28 03:51:00
2001-12-28 06:47:00,2001-12-28 07:06:00,M1.0,GOES,2001-12-28 06:55:00
2001-12-28 12:10:00,2001-12-28 12:59:00,M1.3,GOES,2001-12-28 12:30:00
2001-12-28 18:46:00,2001-12-28 19:02:00,C8.2,GOES,2001-12-28 18:53:00
2001-12-28 20:02:00,2001-12-28 21:32:00,X3.4,GOES,2001-12-28 20:45:00
2002-04-21 00:43:00,2002-04-21 02:38:00,X1.5,GOES,2002-04-21 01:51:00
2002-04-21 17:25:00,2002-04-21 17:33:00,C7.9,GOES,2002-04-21 17:30:00
2002-04-21 17:37:00,2002-04-21 18:24:00,C8.3,GOES,2002-04-21 18:06:00
2002-04-21 20:11:00,2002-04-21 20:18:00,C2.9,GOES,2002-04-21 20:16:00
2002-04-21 21:51:00,2002-04-21 21:58:00,C3.4,GOES,2002-04-21 21:56:00
2002-05-20 07:19:00,2002-05-20 07:34:00,C2.2,GOES,2002-05-20 07:33:00
2002-05-20 07:29:00,2002-05-20 08:14:00,C3.9,GOES,2002-05-20 08:05:00
2002-05-20 10:14:00,2002-05-20 10:34:00,M4.7,GOES,2002-05-20 10:29:00
2002-05-20 10:49:00,2002-05-20 10:56:00,M5.0,GOES,2002-05-20 10:53:00
2002-05-20 15:21:00,2002-05-20 15:31:00,X2.1,GOES,2002-05-20 15:27:00
2002-05-20 18:15:00,2002-05-20 18:25:00,C4.1,GOES,2002-05-20 18:20:00
2002-05-20 19:46:00,2002-05-20 19:56:00,C1.8,GOES,2002-05-20 19:51:00
2002-05-20 20:17:00,2002-05-20 20:37:00,C3.0,GOES,2002-05-20 20:24:00
2002-05-20 21:16:00,2002-05-20 21:24:00,C2.0,GOES,2002-05-20 21:20:00
2002-07-03 00:00:00,2002-07-03 00:45:00,C4.1,GOES,2002-07-03 00:31:00
2002-07-03 01:37:00,2002-07-03 01:52:00,C2.0,GOES,2002-07-03 01:44:00
2002-07-03 02:08:00,2002-07-03 02:16:00,X1.5,GOES,2002-07-03 02:13:00
2002-07-03 07:57:00,2002-07-03 08:22:00,C3.4,GOES,2002-07-03 08:09:00
